baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2317.94431606241	5.82518372039797	0.14243741715221	40.8964430615385	0	0
ENSMUSG00000025608.9	3649.45715057538	8.30402957202418	0.199354787849761	41.6545278976812	0	0
ENSMUSG00000045545.8	3382.11805550762	9.11228516707388	0.239059591463983	38.1172121614988	0	0
ENSMUSG00000047586.4	1999.5217670659	7.41516874360563	0.197195250614085	37.6031812151362	0	0
ENSMUSG00000054889.10	5681.43631448003	4.64771158874395	0.116047342815436	40.0501336436093	0	0
ENSMUSG00000097767.8	3383.58887256658	6.57772575966153	0.157385952731056	41.7936013063482	0	0
ENSMUSG00000020758.15	5235.74244351333	4.24464600636241	0.11382244565935	37.2918186898379	2.22713180258505e-304	6.46663626964873e-301
ENSMUSG00000037820.15	3258.68016129878	4.02426813703573	0.109216924823514	36.8465614971179	3.31990669141959e-297	8.43463793788789e-294
ENSMUSG00000053797.10	1936.02301601518	7.95519056865316	0.21615483729216	36.8032039824339	1.64076508109557e-296	3.70539447480749e-293
ENSMUSG00000030693.10	1027.95525560359	5.45753914390196	0.148772321364822	36.6838340212418	1.32221563429306e-294	2.68740327670065e-291
ENSMUSG00000056602.12	990.591707084849	5.40369613718048	0.152888436753548	35.3440472799855	1.23759634864415e-273	2.28674052601748e-270
ENSMUSG00000047281.3	888.573339486046	5.25954872247464	0.150327929311763	34.9871693607042	3.52615119902839e-268	5.97241859335433e-265
ENSMUSG00000024406.16	1886.87605169355	4.45837309441553	0.13038482523052	34.1939569005301	2.97351817188653e-256	4.64898129566105e-253
ENSMUSG00000026413.12	1393.67181460133	5.510475445908	0.161844894075914	34.0478794673824	4.36293778018972e-254	6.33405074159686e-251
ENSMUSG00000027375.14	3172.4500691909	5.74968255527444	0.169583203260484	33.9047880021631	5.66271279172865e-252	7.67297583279232e-249
ENSMUSG00000037185.9	1168.86406608261	4.97002314891418	0.14836913096795	33.4976899607761	5.20781028489804e-246	6.61554650253454e-243
ENSMUSG00000031995.9	1058.27582668338	6.00727672186506	0.181078674772628	33.1749540878191	2.47372457292233e-241	2.95755599674391e-238
ENSMUSG00000019102.10	3545.69988284028	3.75524783359751	0.116918550018249	32.1184947385285	2.43315427990968e-226	2.74743670773135e-223
ENSMUSG00000034282.3	1060.64690449324	6.84767981441295	0.215701012796777	31.746164404265	3.58685331259718e-221	3.83698913571251e-218
ENSMUSG00000028435.8	821.111169425616	6.22979934232432	0.201871490718022	30.8602236014902	4.08481865899576e-209	4.15119696220444e-206
